index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
35,Science Fiction Action Adventure,8373,egypt sun chaos symbol artifact,en,Transformers: Revenge of the Fallen,21.939663,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,Science Fiction Action Adventure,91314,sequel alien transformers giant robot robot,en,Transformers: Age of Extinction,116.840296,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,Fantasy Adventure Family,68728,circus witch magic hope illusion,en,Oz: The Great and Powerful,46.985445,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,Action Adventure Fantasy,102382,obsession marvel comic sequel based on comic book electrocution,en,The Amazing Spider-Man 2,89.270217,No more secrets.,The Amazing Spider-Man 2,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,Adventure Action Science Fiction,20526,artificial intelligence secret identity computer program dystopia computer,en,TRON: Legacy,73.79505,The Game Has Changed.,TRON: Legacy,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,Animation Family Adventure Comedy,49013,car race sequel comedy anthropomorphism best friend,en,Cars 2,49.98659,Ka-ciao!,Cars 2,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,Adventure Action Thriller Science Fiction,44912,dc comics transformation superhero alien alien infection,en,Green Lantern,51.872839,"In our darkest hour, there will be light.",Green Lantern,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,Animation Family Comedy,10193,hostage college toy barbie animation,en,Toy Story 3,59.995418,No toy gets left behind.,Toy Story 3,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,Action Science Fiction Thriller,534,saving the world artificial intelligence prophecy san francisco cyborg,en,Terminator Salvation,71.862892,The End Begins.,Terminator Salvation,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,Action,168259,car race speed revenge suspense car,en,Furious 7,102.322217,Vengeance Hits Home,Furious 7,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,Action Drama Horror Science Fiction Thriller,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,World War Z,81.834855,Remember Philly!,World War Z,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,Action Adventure Fantasy Science Fiction,127585,1970s mutant time travel marvel comic based on comic book,en,X-Men: Days of Future Past,118.078691,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,Action Adventure Science Fiction,54138,spacecraft friendship sequel futuristic space,en,Star Trek Into Darkness,78.291018,Earth Will Fall,Star Trek Into Darkness,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,Action Family Fantasy,81005,based on fairy tale giant,en,Jack the Giant Slayer,43.349855,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,Drama Romance,64682,based on novel infidelity obsession hope 3d,en,The Great Gatsby,61.196071,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,Adventure Fantasy Action Romance,9543,persia sandstorm brother against brother armageddon regent,en,Prince of Persia: The Sands of Time,62.169881,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,Action Science Fiction Adventure,68726,dystopia giant robot giant monster apocalypse imax,en,Pacific Rim,56.523205,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,Action Science Fiction Adventure,38356,moon spacecraft traitor bodyguard alien planet,en,Transformers: Dark of the Moon,28.529607,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,Adventure Action,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,Adventure Animation Family,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,The Good Dinosaur,51.692953,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,Animation Adventure Comedy Family Action,62177,scotland rebel bravery kingdom archer,en,Brave,125.114374,Change your fate.,Brave,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
57,Animation Family,10681,romantic comedy,en,WALL·E,66.390712,An adventure beyond the ordinar-E.,WALL·E,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,Action Comedy Crime Thriller,5174,ambassador,en,Rush Hour 3,22.57178,The Rush Is On!,Rush Hour 3,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,Action Adventure Science Fiction,14161,civilization natural disaster end of the world disaster apocalypse,en,2012,45.274225,We Were Warned.,2012,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,Animation Drama,17979,holiday based on novel victorian england money christmas eve,en,A Christmas Carol,39.744242,Season's Greedings,A Christmas Carol,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,Science Fiction Fantasy Action Adventure,76757,jupiter space woman director 3d interspecies romance,en,Jupiter Ascending,85.36908,Expand your universe.,Jupiter Ascending,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,Action Adventure,258489,africa feral child tarzan jungle animal attack,en,The Legend of Tarzan,42.741719,Human. Nature.,The Legend of Tarzan,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,Adventure Family Fantasy,411,saving the world witch based on novel brother sister relationship self sacrifice,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,Science Fiction,246655,mutant supernatural powers marvel comic superhero based on comic book,en,X-Men: Apocalypse,139.272042,Only the strong will survive,X-Men: Apocalypse,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,Drama Action Crime Thriller,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,187.322927,Why So Serious?,The Dark Knight,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
67,Animation Family Adventure Science Fiction,15512,alien giant robot duringcreditsstinger,en,Monsters vs Aliens,36.167578,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,Action Science Fiction Adventure,1726,middle east arms dealer malibu marvel comic superhero,en,Iron Man,120.725053,Heroes aren't born. They're built.,Iron Man,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,Adventure Drama Family,44826,library clock film director key toy,en,Hugo,32.319043,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,Action Adventure Comedy Science Fiction Western,8487,steampunk based on tv series steam locomotive drag,en,Wild Wild West,40.748915,It's a whole new west.,Wild Wild West,5.1,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
72,Action Adventure Crime Fantasy Science Fiction,297761,dc comics shared universe anti hero secret mission villain,en,Suicide Squad,90.23792,Worst Heroes Ever,Suicide Squad,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,Fantasy Comedy Family,2698,father son relationship daily life married couple support father,en,Evan Almighty,27.082182,A comedy of biblical proportions,Evan Almighty,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,Action Science Fiction,137113,deja vu time warp restart dystopia war,en,Edge of Tomorrow,79.456485,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,Adventure Action,9804,ocean tattoo mutant water dystopia,en,Waterworld,44.640292,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,Adventure Action Thriller Science Fiction,14869,terrorist secret hostage technology warhead,en,G.I. Joe: The Rise of Cobra,32.852443,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,Drama Comedy Animation Family,150540,dream cartoon imaginary friend animation family,en,Inside Out,128.655964,Meet the little voices inside your head.,Inside Out,8,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
79,Adventure Action Science Fiction,10138,malibu marvel comic superhero based on comic book revenge,en,Iron Man 2,77.300194,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,Adventure Fantasy Drama,58595,queen magic fairy tale immortality forest,en,Snow White and the Huntsman,77.178973,The Fairytale is Over,Snow White and the Huntsman,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,Fantasy Adventure Action Family Romance,102651,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,Maleficent,110.620647,Don't believe the fairy tale.,Maleficent,7,4496,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,Science Fiction Action Drama Thriller,119450,leader colony post-apocalyptic dystopia forest,en,Dawn of the Planet of the Apes,243.791743,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
84,Drama Action Adventure Fantasy,64686,japan suicide samurai based on true story samurai sword,en,47 Ronin,41.796339,For courage. For loyalty. For honor.,47 Ronin,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,Action Adventure Science Fiction,100402,washington d.c. future shield marvel comic superhero,en,Captain America: The Winter Soldier,72.225265,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,Comedy Adventure Fantasy Animation Family,10192,ogre 3d,en,Shrek Forever After,44.041186,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,Adventure Family Mystery Science Fiction,158852,inventor apocalypse destiny imax dreamer,en,Tomorrowland,130.311355,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,Adventure Family Animation Action Comedy,177572,brother brother relationship hero talent revenge best friend,en,Big Hero 6,203.73459,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,Family Animation Comedy Adventure,82690,support group product placement bullying racing arcade,en,Wreck-It Ralph,62.341073,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,Adventure Animation Family Fantasy,5255,santa claus nerd faith gift bell,en,The Polar Express,47.323228,This holiday season... believe.,The Polar Express,6.4,1474,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,Action Adventure Science Fiction,47933,alternate history alien invasion,en,Independence Day: Resurgence,48.775723,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,Fantasy Adventure Animation Family,10191,flying blacksmith arena island night,en,How to Train Your Dragon,67.263269,One adventure will change two worlds,How to Train Your Dragon,7.5,4227,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
93,Action Thriller Science Fiction,296,saving the world artificial intelligence man vs machine cyborg killer robot,en,Terminator 3: Rise of the Machines,69.405188,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
94,Action Science Fiction Adventure,118340,marvel comic spaceship space outer space orphan,en,Guardians of the Galaxy,481.098624,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
95,Adventure Drama Science Fiction,157336,saving the world artificial intelligence father son relationship single parent nasa,en,Interstellar,724.247784,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
96,Action Thriller Science Fiction Mystery Adventure,27205,loss of lover dream kidnapping sleep subconsciousness,en,Inception,167.58371,Your mind is the scene of the crime.,Inception,8.1,13752,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
97,Action Adventure Drama Horror Science Fiction,315011,monster godzilla giant monster destruction kaiju,ja,シン・ゴジラ,9.476999,A god incarnate. A city doomed.,Shin Godzilla,6.5,143,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
98,Adventure Fantasy Action,49051,riddle elves dwarves orcs middle-earth (tolkien),en,The Hobbit: An Unexpected Journey,108.849621,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8297,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
99,Action Crime Thriller,9799,street gang car race undercover auto-tuning los angeles,en,The Fast and the Furious,6.909942,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
100,Fantasy Drama Thriller Mystery Romance,4922,diary navy funeral tea travel,en,The Curious Case of Benjamin Button,60.269279,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
101,Action Science Fiction Adventure,49538,cia mutant mine marvel comic superhero,en,X-Men: First Class,3.195174,Witness the moment that will change our world.,X-Men: First Class,7.1,5181,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
102,Action Adventure Science Fiction,131634,revolution strong woman dystopia game of death 3d,en,The Hunger Games: Mockingjay - Part 2,127.284427,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
103,Fantasy Adventure Action Comedy Drama,27022,witch fire wolf fountain magic,en,The Sorcerer's Apprentice,35.580815,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
104,Adventure Action Drama Thriller,503,new year's eve fire drowning cataclysm loss of father,en,Poseidon,21.133748,Mayday,Poseidon,5.5,583,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
105,Fantasy,241259,based on novel clock queen sequel alice in wonderland,en,Alice Through the Looking Glass,56.268916,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
106,Fantasy Adventure Animation Comedy Family,810,ambush sadness stage liberation of prisoners island,en,Shrek the Third,42.986467,Who's ready for Thirds?,Shrek the Third,6,2278,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
107,Action Adventure Fantasy,68735,video game elves orcs magic chase,en,Warcraft,63.148529,Two worlds. One home.,Warcraft,6.3,2268,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
108,Science Fiction Action Thriller Adventure,87101,saving the world artificial intelligence cyborg killer robot future,en,Terminator Genisys,202.042635,Reset the future,Terminator Genisys,5.8,3631,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
109,Adventure Family Fantasy,10140,based on novel magic good vs evil king narnia,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
110,History Romance War,676,nurse patriotism hawaii world war ii pilot,en,Pearl Harbor,34.20669,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
111,Adventure Science Fiction Action,1858,destroy transformation alien based on toy transformers,en,Transformers,25.468493,Their war. Our world.,Transformers,6.6,4040,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
112,War History Action Adventure Drama,1966,aristotle egypt greece persia elephant,en,Alexander,39.019229,The greatest legend of all was real.,Alexander,5.6,927,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
113,Adventure Fantasy Family Mystery,675,prophecy witch loss of lover magic cutting the cord,en,Harry Potter and the Order of the Phoenix,78.144395,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
